match_id,date,season,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result
77467,2026-02-28T14:30:00Z,2025,24,134,SV Werder Bremen,199,1. FC Heidenheim 1846,2,0,0
77469,2026-02-28T14:30:00Z,2025,24,87,Borussia Mönchengladbach,80,1. FC Union Berlin,1,0,0
77471,2026-02-28T14:30:00Z,2025,24,175,TSG Hoffenheim,98,FC St. Pauli,0,1,2
77466,2026-02-28T17:30:00Z,2025,24,7,Borussia Dortmund,40,FC Bayern München,2,3,2
77465,2026-03-01T16:30:00Z,2025,24,91,Eintracht Frankfurt,112,SC Freiburg,2,0,0
77473,2026-03-06T19:30:00Z,2025,25,40,FC Bayern München,87,Borussia Mönchengladbach,4,1,0
77474,2026-03-07T14:30:00Z,2025,25,112,SC Freiburg,6,Bayer 04 Leverkusen,3,3,1
77475,2026-03-07T14:30:00Z,2025,25,81,1. FSV Mainz 05,16,VfB Stuttgart,2,2,1
77476,2026-03-07T14:30:00Z,2025,25,1635,RB Leipzig,95,FC Augsburg,2,1,0
77477,2026-03-07T14:30:00Z,2025,25,131,VfL Wolfsburg,100,Hamburger SV,1,2,2
77480,2026-03-07T14:30:00Z,2025,25,199,1. FC Heidenheim 1846,175,TSG Hoffenheim,2,4,2
77481,2026-03-07T17:30:00Z,2025,25,65,1. FC Köln,7,Borussia Dortmund,1,2,2
77479,2026-03-08T14:30:00Z,2025,25,98,FC St. Pauli,91,Eintracht Frankfurt,0,0,1
77478,2026-03-08T16:30:00Z,2025,25,80,1. FC Union Berlin,134,SV Werder Bremen,1,4,2
